name,team,opp,salary,fppg,played,injury,inj_details,game,is_home,is_dome,team_implied,game_ou,spread,is_fav,fav_margin,opp_softness_rank,opp_tier,opp_fd_fpa,opp_rush_yds_allowed,opp_rush_td_allowed,rush_yds_ou,rush_att_ou,rec_ou,atd_prob,atd_odds,vegas_implied_fd,value_fd,composite_proj,salary_efficiency,vegas_grade,vegas_takeaway
Audric Estime,NO,DET,4400,8.42,5,,,NO@DET,False,True,21.25,49.5,7.0,False,-7.0,23,TOUGH,18.5,94.0,0.75,28.5,7.0,2.0,0.333,200,7.3,1.66,5.33,1.21,AVERAGE,Committee rotation: 7.0 Carries O/U; TD-dependent fantasy output
Justice Hill,BAL,IND,4400,5.47,10,,,BAL@IND,False,True,25.5,47.5,-3.5,True,3.5,20,NEUTRAL,18.4,91.2,0.72,31.5,6.5,1.0,0.216,363,5.7,1.3,6.67,1.52,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Keaton Mitchell,LAC,ARI,4400,3.92,13,Q,Undisclosed,ARI@LAC,True,False,28.75,47.5,-10.0,True,10.0,2,SMASH,25.3,117.9,1.03,35.5,6.5,1.0,0.18,456,5.9,1.34,9.57,2.18,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Dare Ogunbowale,LV,MIA,4300,1.74,11,,,MIA@LV,True,True,22.5,41.5,-3.5,True,3.5,8,FAVORABLE,21.9,102.7,0.72,28.0,6.5,1.0,0.18,456,5.1,1.19,7.88,1.83,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Damien Martinez,GB,MIN,4300,,0,,,GB@MIN,False,True,22.5,46.5,1.5,False,-1.5,25,TOUGH,17.9,104.9,0.72,41.0,9.5,2.0,0.395,153,9.0,2.09,7.72,1.8,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Raheim Sanders,CLE,JAC,4300,4.7,4,,,CLE@JAC,False,False,16.0,40.5,8.5,False,-8.5,30,LOCKDOWN,15.7,66.6,0.51,22.5,6.5,1.0,0.186,438,4.6,1.07,1.57,0.37,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Isaiah Davis,NYJ,TEN,4300,3.79,16,Q,Knee,NYJ@TEN,False,False,19.0,39.5,1.5,False,-1.5,21,TOUGH,18.7,84.9,0.91,23.5,6.5,1.0,0.18,456,4.7,1.09,4.03,0.94,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Dylan Laube,LV,MIA,4300,0.13,17,,,MIA@LV,True,True,22.5,41.5,-3.5,True,3.5,8,FAVORABLE,21.9,102.7,0.72,28.0,6.5,1.0,0.18,456,5.1,1.19,7.88,1.83,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Ameer Abdullah,JAC,CLE,4300,2.15,13,,,CLE@JAC,True,False,24.5,40.5,-8.5,True,8.5,11,FAVORABLE,21.0,101.2,0.81,30.5,6.5,1.0,0.18,456,5.4,1.26,7.73,1.8,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Kaleb Johnson,GB,MIN,4300,0.63,10,,,GB@MIN,False,True,22.5,46.5,1.5,False,-1.5,25,TOUGH,17.9,104.9,0.72,28.0,6.5,1.0,0.18,456,5.1,1.19,3.82,0.89,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
