id,name,pos,team,opp,salary,fppg,proj,team_implied,game_ou,spread,soft_rank
133104-168005,CJ Williams,WR,JAC,CLE,4000,,4.0,24.5,40.5,-8.5,30
133104-87117,Brenden Bates,TE,CLE,JAC,4000,1.3600000381469726,1.0,16.0,40.5,8.5,16
133104-141390,Riley Nowakowski,TE,PIT,ATL,4000,,4.23,23.0,42.5,-3.5,25
133104-65627,Maurice Alexander,WR,CHI,CAR,4000,0.0,5.15,25.25,47.5,-3.0,22
133104-152675,Brady Boyd,WR,JAC,CLE,4000,,4.0,24.5,40.5,-8.5,30
133104-154730,Dean Patterson IV,WR,TB,CIN,4000,,3.63,23.5,50.5,3.5,31
133104-175211,Cortez Braham Jr.,WR,BAL,IND,4000,,7.62,25.5,47.5,-3.5,2
133104-68714,Ko Kieft,TE,TB,CIN,4000,0.0,7.23,23.5,50.5,3.5,1
133104-152681,Le'Meke Brockington,WR,ATL,PIT,4000,,5.39,19.5,42.5,3.5,8
133104-86125,Brandon Smith,WR,PIT,ATL,4000,,6.39,23.0,42.5,-3.5,7
133104-183404,Josh Cuevas,TE,BAL,IND,4000,,6.78,25.5,47.5,-3.5,9
133104-140407,Miles Davis,RB,CAR,CHI,4000,,4.88,22.25,47.5,3.0,18
133104-158836,Lucas Scott,RB,BAL,IND,4000,,6.66,25.5,47.5,-3.5,20
133104-68730,Sean McKeon,TE,IND,BAL,4000,,3.86,22.0,47.5,3.5,26
133104-110721,Dayton Wade,WR,BAL,IND,4000,,7.62,25.5,47.5,-3.5,2
133104-159883,Cash Jones,RB,ATL,PIT,4000,,3.24,19.5,42.5,3.5,26
133104-54426,Andrew Beck,TE,NYJ,TEN,4000,2.2222222222222223,2.25,19.0,39.5,1.5,10
133104-94363,Elijah Cooks,WR,CAR,CHI,4000,,6.32,22.25,47.5,3.0,6
133104-135321,Mac Dalena,WR,BUF,HOU,4000,,4.11,23.0,44.5,-1.5,26
133104-139417,Anderson Castle,RB,IND,BAL,4000,,5.18,22.0,47.5,3.5,15
133104-63646,Lawrence Cager,TE,WAS,PHI,4000,,2.63,19.5,44.5,5.5,31
133104-135325,Rivaldo Fairweather,TE,ARI,LAC,4000,,2.81,18.75,47.5,10.0,28
133104-200865,Coleman Bennett,RB,MIA,LV,4000,,4.67,19.0,41.5,3.5,13
133104-157857,Kyron Hudson,WR,CHI,CAR,4000,,5.15,25.25,47.5,-3.0,22
133104-173230,Josh Kattus,TE,CIN,TB,4000,,7.87,27.0,50.5,-3.5,3
133104-152749,Chamon Metayer,TE,CAR,CHI,4000,,4.64,22.25,47.5,3.0,20
133104-105648,Tyler Goodson,RB,ATL,PIT,4000,0.4199999809265137,1.0,19.5,42.5,3.5,26
133104-151737,E.J. Jenkins,TE,PHI,WAS,4000,2.3999999364217124,4.29,25.0,44.5,-5.5,7
133104-154812,Donaven McCulley,WR,MIA,LV,4000,,4.67,19.0,41.5,3.5,13
133104-151744,Chris Hilton Jr.,WR,GB,MIN,4000,,3.27,22.5,46.5,1.5,32
133104-158916,Bauer Sharp,TE,TB,CIN,4000,,7.23,23.5,50.5,3.5,1
133104-176325,Jack Velling,TE,ATL,PIT,4000,,5.88,19.5,42.5,3.5,4
133104-70859,Albert Okwuegbunam Jr.,TE,LV,MIA,4000,6.099999904632568,7.6,22.5,41.5,-3.5,5
133104-170184,Julius Chestnut,RB,TEN,NYJ,4000,0.3076923076923077,1.79,20.5,39.5,-1.5,1
133104-152784,Raylen Sharpe,WR,IND,BAL,4000,,6.5,22.0,47.5,3.5,4
133104-171217,Demond Claiborne,RB,MIN,GB,4000,,5.8,24.0,46.5,-1.5,14
133104-104661,Patrick Herbert,TE,LAC,ARI,4000,,8.43,28.75,47.5,-10.0,2
133104-25813,Phillip Dorsett II,WR,LV,MIA,4000,,5.3,22.5,41.5,-3.5,15
133104-167124,Evan Svoboda,TE,LAC,ARI,4000,,8.43,28.75,47.5,-10.0,2
133104-226525,Chandler Brayboy,WR,JAC,CLE,4000,,4.0,24.5,40.5,-8.5,30
133104-170208,Kaden Davis,WR,CHI,CAR,4000,0.0,5.15,25.25,47.5,-3.0,22
133104-169185,Jamaal Pritchett,WR,NYJ,TEN,4000,,5.63,19.0,39.5,1.5,5
133104-170214,Dennis Houston,WR,TB,CIN,4000,,3.63,23.5,50.5,3.5,31
133104-130276,Mason Kinsey,WR,TEN,NYJ,4000,1.4500000476837158,1.14,20.5,39.5,-1.5,16
133104-110834,Tahj Washington,WR,PHI,WAS,4000,1.600000023841858,3.25,25.0,44.5,-5.5,9
133104-139510,Caullin Lacy,WR,NYJ,TEN,4000,,5.63,19.0,39.5,1.5,5
133104-151799,Jackson Meeks,WR,DET,NO,4000,,5.3,28.25,49.5,-7.0,27
133104-173300,Octavian Smith Jr.,WR,BAL,IND,4000,,7.62,25.5,47.5,-3.5,2
133104-12540,Minnesota Vikings,D,MIN,GB,4000,8.0,7.5,24.0,46.5,-1.5,16
133104-92413,Elijah Mitchell,RB,PHI,WAS,4000,0.0,8.57,25.0,44.5,-5.5,3
133104-71935,Kendric Pryor,WR,CIN,TB,4000,1.399999976158142,2.47,27.0,50.5,-3.5,18
133104-91401,Ronnie Bell,WR,LV,MIA,4000,4.650000095367432,4.96,22.5,41.5,-3.5,15
133104-137485,E.J. Horton Jr.,WR,IND,BAL,4000,,6.5,22.0,47.5,3.5,4
133104-110868,Josh Williams,RB,TB,CIN,4000,0.550000011920929,2.43,23.5,50.5,3.5,4
133104-137495,Kentrel Bullock,RB,CIN,TB,4000,,7.51,27.0,50.5,-3.5,16
133104-157975,Keleki Latu,TE,BUF,HOU,4000,1.8333333333333333,2.02,23.0,44.5,-1.5,17
133104-129302,Stephen Gosnell,WR,BUF,HOU,4000,,4.11,23.0,44.5,-1.5,26
133104-157973,J. Michael Sturdivant,WR,GB,MIN,4000,,3.27,22.5,46.5,1.5,32
133104-91428,Tarik Black,WR,DET,NO,4000,,5.3,28.25,49.5,-7.0,27
133104-91443,McCallan Castles,TE,GB,MIN,4000,,3.5,22.5,46.5,1.5,30
133104-137525,Malick Meiga,WR,CAR,CHI,4000,,6.32,22.25,47.5,3.0,6
133104-92479,David Martin-Robinson,TE,TEN,NYJ,4000,1.5714285714285714,2.22,20.5,39.5,-1.5,8
133104-166222,Jeremiah Franklin,TE,MIA,LV,4000,,2.75,19.0,41.5,3.5,29
133104-152921,Sam Scott,RB,NYJ,TEN,4000,,3.71,19.0,39.5,1.5,21
133104-185699,Eric Rivers Jr.,WR,TB,CIN,4000,,3.63,23.5,50.5,3.5,31
133104-133478,Arian Smith,WR,NYJ,TEN,4000,0.7692307692307693,1.4,19.0,39.5,1.5,5
133104-93540,British Brooks,RB,HOU,BUF,4000,0.975000023841858,1.63,21.5,44.5,1.5,10
133104-153957,Zaire Mitchell-Paden,TE,HOU,BUF,4000,0.9000000158945719,1.0,21.5,44.5,1.5,32
133104-166253,Sam Roush,TE,CHI,CAR,4000,,5.87,25.25,47.5,-3.0,16
133104-90480,Joel Wilson,TE,TEN,NYJ,4000,,5.64,20.5,39.5,-1.5,8
133104-90483,Bernhard Raimann,TE,IND,BAL,4000,0.0,3.86,22.0,47.5,3.5,26
133104-110977,Thomas Gordon,TE,DET,NO,4000,,5.9,28.25,49.5,-7.0,22
133104-110978,Evan Hull,RB,ARI,LAC,4000,0.9833333492279052,1.0,18.75,47.5,10.0,29
133104-138636,Brandon Hayes,WR,PHI,WAS,4000,,6.65,25.0,44.5,-5.5,9
133104-138649,LaJohntay Wester,WR,BAL,IND,4000,-0.1666666666666666,7.62,25.5,47.5,-3.5,2
133104-174494,Miles Kitselman,TE,DET,NO,4000,,5.9,28.25,49.5,-7.0,22
133104-94625,Jalen Reagor,WR,MIA,LV,4000,1.5999999727521623,1.27,19.0,41.5,3.5,13
133104-133538,Levi Wentz,WR,PIT,ATL,4000,,6.39,23.0,42.5,-3.5,7
133104-151968,Lake McRee,TE,PIT,ATL,4000,,4.23,23.0,42.5,-3.5,25
133104-90533,Jerome Ford,RB,WAS,PHI,4000,2.353846183189979,2.27,19.5,44.5,5.5,12
133104-112037,Casey Washington,WR,CAR,CHI,4000,2.4799999237060546,3.8,22.25,47.5,3.0,6
133104-103844,Nick Nash,WR,WAS,PHI,4000,,3.35,19.5,44.5,5.5,25
133104-80294,Anthony Firkser,TE,DET,NO,4000,1.8600000381469728,2.76,28.25,49.5,-7.0,22
133104-241064,Dohnte Meyers,WR,CIN,TB,4000,,6.07,27.0,50.5,-3.5,18
133104-87469,Jelani Woods,TE,NYJ,TEN,4000,0.449999988079071,1.0,19.0,39.5,1.5,10
133104-92590,Raheem Blackshear,RB,DET,NO,4000,0.5333333333333333,3.0,28.25,49.5,-7.0,19
